"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2016",99931.079,,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2016",577.538,,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2016",207.978,,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2015",100331.238,,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2015",541.718,,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2015",209.934,,,"T30:111","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2014",95690.029,"B",,"T30:111_I11:264","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2014",521.183,"B",,"T30:111_I11:264","R1:3513_T3:240"
"ARM","BA:867","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2014",230.068,"B",,"T30:111_I11:264","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2013",93306.883,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2013",522.03,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2013",227.786,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2012",88760.389,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2012",561.503,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2012",220.927,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2011",82681.486,,,"T30:111","R1:3513_T3:240"
"ARM","BB:173","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2011",499.197,,,"T30:111","R1:3513_T3:240"
